event_date,event_timestamp,user_id,event_name,order_id,amount,channel,region,category,campaign
2026-07-01,2026-07-01 09:00:00,u1,page_view,,0,search,上海,服饰,summer
2026-07-01,2026-07-01 09:01:00,u1,view_item,,0,search,上海,服饰,summer
2026-07-01,2026-07-01 09:02:00,u1,add_to_cart,,0,search,上海,服饰,summer
2026-07-01,2026-07-01 09:03:00,u1,begin_checkout,,0,search,上海,服饰,summer
2026-07-01,2026-07-01 09:04:00,u1,purchase,o1,199,search,上海,服饰,summer
2026-07-01,2026-07-01 10:00:00,u2,page_view,,0,social,北京,数码,launch
2026-07-01,2026-07-01 10:01:00,u2,view_item,,0,social,北京,数码,launch
2026-07-01,2026-07-01 10:02:00,u2,add_to_cart,,0,social,北京,数码,launch
2026-07-02,2026-07-02 11:00:00,u3,page_view,,0,organic,广州,美妆,organic
2026-07-02,2026-07-02 11:01:00,u3,view_item,,0,organic,广州,美妆,organic
2026-07-02,2026-07-02 11:02:00,u3,add_to_cart,,0,organic,广州,美妆,organic
2026-07-02,2026-07-02 11:03:00,u3,begin_checkout,,0,organic,广州,美妆,organic
2026-07-03,2026-07-03 12:00:00,u4,page_view,,0,ads,深圳,家居,promo
2026-07-03,2026-07-03 12:01:00,u4,view_item,,0,ads,深圳,家居,promo
2026-07-03,2026-07-03 12:02:00,u4,add_to_cart,,0,ads,深圳,家居,promo
2026-07-03,2026-07-03 12:03:00,u4,begin_checkout,,0,ads,深圳,家居,promo
2026-07-03,2026-07-03 12:04:00,u4,purchase,o2,399,ads,深圳,家居,promo
2026-07-08,2026-07-08 09:00:00,u1,page_view,,0,search,上海,服饰,summer
2026-07-08,2026-07-08 09:01:00,u1,purchase,o3,129,search,上海,服饰,summer
2026-07-09,2026-07-09 14:00:00,u5,page_view,,0,invite,西安,运动,referral

